date,district,Average of centy,Average of centx
2016-05-01,Badhaadhe,-0.8536984000000001,41.42942
2016-06-01,Badhaadhe,-0.8536984000000001,41.42942
2016-07-01,Badhaadhe,-0.8536984000000001,41.42942
2016-08-01,Badhaadhe,-0.8536984000000001,41.42942
2016-09-01,Badhaadhe,-0.8536984000000001,41.42942
2016-10-01,Badhaadhe,-0.8536984000000001,41.42942
2016-11-01,Badhaadhe,-0.8536984000000001,41.42942
2016-12-01,Badhaadhe,-0.8536984000000001,41.42942
2017-01-01,Badhaadhe,-0.8536984000000001,41.42942
2017-02-01,Badhaadhe,-0.8536984000000001,41.42942
2017-03-01,Badhaadhe,-0.8536984000000001,41.42942
2017-04-01,Badhaadhe,-0.8536984000000001,41.42942
2017-05-01,Badhaadhe,-0.8536984000000001,41.42942
2017-06-01,Badhaadhe,-0.8536984000000001,41.42942
2017-07-01,Badhaadhe,-0.8536984000000001,41.42942
2017-08-01,Badhaadhe,-0.8536984000000001,41.42942
2017-09-01,Badhaadhe,-0.8536984000000001,41.42942
2017-10-01,Badhaadhe,-0.8536984000000001,41.42942
2017-11-01,Badhaadhe,-0.8536984000000001,41.42942
2017-12-01,Badhaadhe,-0.8536984000000001,41.42942
2018-01-01,Badhaadhe,-0.8536984000000001,41.42942
2018-02-01,Badhaadhe,-0.8536984000000001,41.42942
2018-03-01,Badhaadhe,-0.8536984000000001,41.42942
2018-04-01,Badhaadhe,-0.8536984000000001,41.42942
2018-05-01,Badhaadhe,-0.8536984000000001,41.42942
2018-06-01,Badhaadhe,-0.8536984000000001,41.42942
2018-07-01,Badhaadhe,-0.8536984000000001,41.42942
2018-08-01,Badhaadhe,-0.8536984000000001,41.42942
2018-09-01,Badhaadhe,-0.8536984000000001,41.42942
2018-10-01,Badhaadhe,-0.8536984000000001,41.42942
2018-11-01,Badhaadhe,-0.8536984000000001,41.42942
2018-12-01,Badhaadhe,-0.8536984000000001,41.42942
2019-01-01,Badhaadhe,-0.8536984000000001,41.42942
2019-02-01,Badhaadhe,-0.8536984000000001,41.42942
2019-03-01,Badhaadhe,-0.8536984000000001,41.42942
2019-04-01,Badhaadhe,-0.8536984000000001,41.42942
2019-05-01,Badhaadhe,-0.8536984000000001,41.42942
2019-06-01,Badhaadhe,-0.8536984000000001,41.42942
2019-07-01,Badhaadhe,-0.8536984000000001,41.42942
2019-08-01,Badhaadhe,-0.8536984000000001,41.42942
2019-09-01,Badhaadhe,-0.8536984000000001,41.42942
2019-10-01,Badhaadhe,-0.8536984000000001,41.42942
2019-11-01,Badhaadhe,-0.8536984000000001,41.42942
2019-12-01,Badhaadhe,-0.8536984000000001,41.42942
2020-01-01,Badhaadhe,-0.8536984000000001,41.42942
2020-02-01,Badhaadhe,-0.8536984000000001,41.42942
2016-02-01,Baki,10.28566,43.7321
2016-03-01,Baki,10.28566,43.7321
2016-04-01,Baki,10.28566,43.7321
2016-05-01,Baki,10.28566,43.7321
2016-06-01,Baki,10.28566,43.7321
2016-07-01,Baki,10.28566,43.7321
2016-08-01,Baki,10.28566,43.7321
2016-09-01,Baki,10.28566,43.7321
2016-10-01,Baki,10.28566,43.7321
2016-11-01,Baki,10.28566,43.7321
2016-12-01,Baki,10.28566,43.7321
2017-01-01,Baki,10.28566,43.7321
2017-02-01,Baki,10.28566,43.7321
2017-03-01,Baki,10.28566,43.7321
2017-04-01,Baki,10.28566,43.7321
2017-05-01,Baki,10.28566,43.7321
2017-06-01,Baki,10.28566,43.7321
2017-07-01,Baki,10.28566,43.7321
2017-08-01,Baki,10.28566,43.7321
2017-09-01,Baki,10.28566,43.7321
2017-10-01,Baki,10.28566,43.7321
2017-11-01,Baki,10.28566,43.7321
2017-12-01,Baki,10.28566,43.7321
2018-01-01,Baki,10.28566,43.7321
2018-02-01,Baki,10.28566,43.7321
2018-03-01,Baki,10.28566,43.7321
2018-04-01,Baki,10.28566,43.7321
2018-05-01,Baki,10.28566,43.7321
2018-06-01,Baki,10.28566,43.7321
2018-07-01,Baki,10.28566,43.7321
2018-08-01,Baki,10.28566,43.7321
2018-09-01,Baki,10.28566,43.7321
2018-10-01,Baki,10.28566,43.7321
2018-11-01,Baki,10.28566,43.7321
2018-12-01,Baki,10.28566,43.7321
2019-01-01,Baki,10.28566,43.7321
2019-02-01,Baki,10.28566,43.7321
2019-03-01,Baki,10.28566,43.7321
2019-04-01,Baki,10.28566,43.7321
2019-05-01,Baki,10.28566,43.7321
2019-06-01,Baki,10.28566,43.7321
2019-07-01,Baki,10.28566,43.7321
2019-08-01,Baki,10.28566,43.7321
2019-09-01,Baki,10.28566,43.7321
2019-10-01,Baki,10.28566,43.7321
2019-11-01,Baki,10.28566,43.7321
2019-12-01,Baki,10.28566,43.7321
2020-01-01,Baki,10.28566,43.7321
2020-02-01,Baki,10.28566,43.7321
2016-02-01,Balcad,2.488555,45.65908
2016-03-01,Balcad,2.488555,45.65908
2016-04-01,Balcad,2.488555,45.65908
2016-05-01,Balcad,2.488555,45.65908
2016-06-01,Balcad,2.488555,45.65908
2016-07-01,Balcad,2.488555,45.65908
2016-08-01,Balcad,2.488555,45.65908
2016-09-01,Balcad,2.488555,45.65908
2016-10-01,Balcad,2.488555,45.65908
2016-11-01,Balcad,2.488555,45.65908
2016-12-01,Balcad,2.488555,45.65908
2017-01-01,Balcad,2.488555,45.65908
2017-02-01,Balcad,2.488555,45.65908
2017-03-01,Balcad,2.488555,45.65908
2017-04-01,Balcad,2.488555,45.65908
2017-05-01,Balcad,2.488555,45.65908
2017-06-01,Balcad,2.488555,45.65908
2017-07-01,Balcad,2.488555,45.65908
2017-08-01,Balcad,2.488555,45.65908
2017-09-01,Balcad,2.488555,45.65908
2017-10-01,Balcad,2.488555,45.65908
2017-11-01,Balcad,2.488555,45.65908
2017-12-01,Balcad,2.488555,45.65908
2018-01-01,Balcad,2.488555,45.65908
2018-02-01,Balcad,2.488555,45.65908
2018-03-01,Balcad,2.488555,45.65908
2018-04-01,Balcad,2.488555,45.65908
2018-05-01,Balcad,2.488555,45.65908
2018-06-01,Balcad,2.488555,45.65908
2018-07-01,Balcad,2.488555,45.65908
2018-08-01,Balcad,2.488555,45.65908
2018-09-01,Balcad,2.488555,45.65908
2018-10-01,Balcad,2.488555,45.65908
2018-11-01,Balcad,2.488555,45.65908
2018-12-01,Balcad,2.488555,45.65908
2019-01-01,Balcad,2.488555,45.65908
2019-02-01,Balcad,2.488555,45.65908
2019-03-01,Balcad,2.488555,45.65908
2019-04-01,Balcad,2.488555,45.65908
2019-05-01,Balcad,2.488555,45.65908
2019-06-01,Balcad,2.488555,45.65908
2019-07-01,Balcad,2.488555,45.65908
2019-08-01,Balcad,2.488555,45.65908
2019-09-01,Balcad,2.488555,45.65908
2019-10-01,Balcad,2.488555,45.65908
2019-11-01,Balcad,2.488555,45.65908
2019-12-01,Balcad,2.488555,45.65908
2020-01-01,Balcad,2.488555,45.65908
2020-02-01,Balcad,2.488555,45.65908
2016-02-01,Banadir,2.110552,45.42547
2016-03-01,Banadir,2.110552,45.42547
2016-04-01,Banadir,2.110552,45.42547
2016-05-01,Banadir,2.110552,45.42547
2016-06-01,Banadir,2.110552,45.42547
2016-07-01,Banadir,2.110552,45.42547
2016-08-01,Banadir,2.110552,45.42547
2016-09-01,Banadir,2.110552,45.42547
2016-10-01,Banadir,2.110552,45.42547
2016-11-01,Banadir,2.110552,45.42547
2016-12-01,Banadir,2.110552,45.42547
2017-01-01,Banadir,2.110552,45.42547
2017-02-01,Banadir,2.110552,45.42547
2017-03-01,Banadir,2.110552,45.42547
2017-04-01,Banadir,2.110552,45.42547
2017-05-01,Banadir,2.110552,45.42547
2017-06-01,Banadir,2.110552,45.42547
2017-07-01,Banadir,2.110552,45.42547
2017-08-01,Banadir,2.110552,45.42547
2017-09-01,Banadir,2.110552,45.42547
2017-10-01,Banadir,2.110552,45.42547
2017-11-01,Banadir,2.110552,45.42547
2017-12-01,Banadir,2.110552,45.42547
2018-01-01,Banadir,2.110552,45.42547
2018-02-01,Banadir,2.110552,45.42547
2018-03-01,Banadir,2.110552,45.42547
2018-04-01,Banadir,2.110552,45.42547
2018-05-01,Banadir,2.110552,45.42547
2018-06-01,Banadir,2.110552,45.42547
2018-07-01,Banadir,2.110552,45.42547
2018-08-01,Banadir,2.110552,45.42547
2018-09-01,Banadir,2.110552,45.42547
2018-10-01,Banadir,2.110552,45.42547
2018-11-01,Banadir,2.110552,45.42547
2018-12-01,Banadir,2.110552,45.42547
2019-01-01,Banadir,2.110552,45.42547
2019-02-01,Banadir,2.110552,45.42547
2019-03-01,Banadir,2.110552,45.42547
2019-04-01,Banadir,2.110552,45.42547
2019-05-01,Banadir,2.110552,45.42547
2019-06-01,Banadir,2.110552,45.42547
2019-07-01,Banadir,2.110552,45.42547
2019-08-01,Banadir,2.110552,45.42547
2019-09-01,Banadir,2.110552,45.42547
2019-10-01,Banadir,2.110552,45.42547
2019-11-01,Banadir,2.110552,45.42547
2019-12-01,Banadir,2.110552,45.42547
2020-01-01,Banadir,2.110552,45.42547
2020-02-01,Banadir,2.110552,45.42547
2016-02-01,Bandarbeyla,9.229735,50.32945
2016-03-01,Bandarbeyla,9.229735,50.32945
2016-04-01,Bandarbeyla,9.229735,50.32945
2016-05-01,Bandarbeyla,9.229735,50.32945
2016-06-01,Bandarbeyla,9.229735,50.32945
2016-07-01,Bandarbeyla,9.229735,50.32945
2016-08-01,Bandarbeyla,9.229735,50.32945
2016-09-01,Bandarbeyla,9.229735,50.32945
2016-10-01,Bandarbeyla,9.229735,50.32945
2016-11-01,Bandarbeyla,9.229735,50.32945
2016-12-01,Bandarbeyla,9.229735,50.32945
2017-01-01,Bandarbeyla,9.229735,50.32945
2017-02-01,Bandarbeyla,9.229735,50.32945
2017-03-01,Bandarbeyla,9.229735,50.32945
2017-04-01,Bandarbeyla,9.229735,50.32945
2017-05-01,Bandarbeyla,9.229735,50.32945
2017-06-01,Bandarbeyla,9.229735,50.32945
2017-07-01,Bandarbeyla,9.229735,50.32945
2017-08-01,Bandarbeyla,9.229735,50.32945
2017-09-01,Bandarbeyla,9.229735,50.32945
2017-10-01,Bandarbeyla,9.229735,50.32945
2017-11-01,Bandarbeyla,9.229735,50.32945
2017-12-01,Bandarbeyla,9.229735,50.32945
2018-01-01,Bandarbeyla,9.229735,50.32945
2018-02-01,Bandarbeyla,9.229735,50.32945
2018-03-01,Bandarbeyla,9.229735,50.32945
2018-04-01,Bandarbeyla,9.229735,50.32945
2018-05-01,Bandarbeyla,9.229735,50.32945
2018-06-01,Bandarbeyla,9.229735,50.32945
2018-07-01,Bandarbeyla,9.229735,50.32945
2018-08-01,Bandarbeyla,9.229735,50.32945
2018-09-01,Bandarbeyla,9.229735,50.32945
2018-10-01,Bandarbeyla,9.229735,50.32945
2018-11-01,Bandarbeyla,9.229735,50.32945
2018-12-01,Bandarbeyla,9.229735,50.32945
2019-01-01,Bandarbeyla,9.229735,50.32945
2019-02-01,Bandarbeyla,9.229735,50.32945
2019-03-01,Bandarbeyla,9.229735,50.32945
2019-04-01,Bandarbeyla,9.229735,50.32945
2019-05-01,Bandarbeyla,9.229735,50.32945
2019-06-01,Bandarbeyla,9.229735,50.32945
2019-07-01,Bandarbeyla,9.229735,50.32945
2019-08-01,Bandarbeyla,9.229735,50.32945
2019-09-01,Bandarbeyla,9.229735,50.32945
2019-10-01,Bandarbeyla,9.229735,50.32945
2019-11-01,Bandarbeyla,9.229735,50.32945
2019-12-01,Bandarbeyla,9.229735,50.32945
2020-01-01,Bandarbeyla,9.229735,50.32945
2020-02-01,Bandarbeyla,9.229735,50.32945
2016-02-01,Baraawe,1.10831,43.84067
2016-03-01,Baraawe,1.10831,43.84067
2016-04-01,Baraawe,1.10831,43.84067
2016-05-01,Baraawe,1.10831,43.84067
2016-06-01,Baraawe,1.10831,43.84067
2016-07-01,Baraawe,1.10831,43.84067
2016-08-01,Baraawe,1.10831,43.84067
2016-09-01,Baraawe,1.10831,43.84067
2016-10-01,Baraawe,1.10831,43.84067
2016-11-01,Baraawe,1.10831,43.84067
2016-12-01,Baraawe,1.10831,43.84067
2017-01-01,Baraawe,1.10831,43.84067
2017-02-01,Baraawe,1.10831,43.84067
2017-03-01,Baraawe,1.10831,43.84067
2017-04-01,Baraawe,1.10831,43.84067
2017-05-01,Baraawe,1.10831,43.84067
2017-06-01,Baraawe,1.10831,43.84067
2017-07-01,Baraawe,1.10831,43.84067
2017-08-01,Baraawe,1.10831,43.84067
2017-09-01,Baraawe,1.10831,43.84067
2017-10-01,Baraawe,1.10831,43.84067
2017-11-01,Baraawe,1.10831,43.84067
2017-12-01,Baraawe,1.10831,43.84067
2018-01-01,Baraawe,1.10831,43.84067
2018-02-01,Baraawe,1.10831,43.84067
2018-03-01,Baraawe,1.10831,43.84067
2018-04-01,Baraawe,1.10831,43.84067
2018-05-01,Baraawe,1.10831,43.84067
2018-06-01,Baraawe,1.10831,43.84067
2018-07-01,Baraawe,1.10831,43.84067
2018-08-01,Baraawe,1.10831,43.84067
2018-09-01,Baraawe,1.10831,43.84067
2018-10-01,Baraawe,1.10831,43.84067
2018-11-01,Baraawe,1.10831,43.84067
2018-12-01,Baraawe,1.10831,43.84067
2019-01-01,Baraawe,1.10831,43.84067
2019-02-01,Baraawe,1.10831,43.84067
2019-03-01,Baraawe,1.10831,43.84067
2019-04-01,Baraawe,1.10831,43.84067
2019-05-01,Baraawe,1.10831,43.84067
2019-06-01,Baraawe,1.10831,43.84067
2019-07-01,Baraawe,1.10831,43.84067
2019-08-01,Baraawe,1.10831,43.84067
2019-09-01,Baraawe,1.10831,43.84067
2019-10-01,Baraawe,1.10831,43.84067
2019-11-01,Baraawe,1.10831,43.84067
2019-12-01,Baraawe,1.10831,43.84067
2020-01-01,Baraawe,1.10831,43.84067
2020-02-01,Baraawe,1.10831,43.84067
2016-02-01,Baydhaba,3.266359,43.63929
2016-03-01,Baydhaba,3.266359,43.63929
2016-04-01,Baydhaba,3.266359,43.63929
2016-05-01,Baydhaba,3.266359,43.63929
2016-06-01,Baydhaba,3.266359,43.63929
2016-07-01,Baydhaba,3.266359,43.63929
2016-08-01,Baydhaba,3.266359,43.63929
2016-09-01,Baydhaba,3.266359,43.63929
2016-10-01,Baydhaba,3.266359,43.63929
2016-11-01,Baydhaba,3.266359,43.63929
2016-12-01,Baydhaba,3.266359,43.63929
2017-01-01,Baydhaba,3.266359,43.63929
2017-02-01,Baydhaba,3.266359,43.63929
2017-03-01,Baydhaba,3.266359,43.63929
2017-04-01,Baydhaba,3.266359,43.63929
2017-05-01,Baydhaba,3.266359,43.63929
2017-06-01,Baydhaba,3.266359,43.63929
2017-07-01,Baydhaba,3.266359,43.63929
2017-08-01,Baydhaba,3.266359,43.63929
2017-09-01,Baydhaba,3.266359,43.63929
2017-10-01,Baydhaba,3.266359,43.63929
2017-11-01,Baydhaba,3.266359,43.63929
2017-12-01,Baydhaba,3.266359,43.63929
2018-01-01,Baydhaba,3.266359,43.63929
2018-02-01,Baydhaba,3.266359,43.63929
2018-03-01,Baydhaba,3.266359,43.63929
2018-04-01,Baydhaba,3.266359,43.63929
2018-05-01,Baydhaba,3.266359,43.63929
2018-06-01,Baydhaba,3.266359,43.63929
2018-07-01,Baydhaba,3.266359,43.63929
2018-08-01,Baydhaba,3.266359,43.63929
2018-09-01,Baydhaba,3.266359,43.63929
2018-10-01,Baydhaba,3.266359,43.63929
2018-11-01,Baydhaba,3.266359,43.63929
2018-12-01,Baydhaba,3.266359,43.63929
2019-01-01,Baydhaba,3.266359,43.63929
2019-02-01,Baydhaba,3.266359,43.63929
2019-03-01,Baydhaba,3.266359,43.63929
2019-04-01,Baydhaba,3.266359,43.63929
2019-05-01,Baydhaba,3.266359,43.63929
2019-06-01,Baydhaba,3.266359,43.63929
2019-07-01,Baydhaba,3.266359,43.63929
2019-08-01,Baydhaba,3.266359,43.63929
2019-09-01,Baydhaba,3.266359,43.63929
2019-10-01,Baydhaba,3.266359,43.63929
2019-11-01,Baydhaba,3.266359,43.63929
2019-12-01,Baydhaba,3.266359,43.63929
2020-01-01,Baydhaba,3.266359,43.63929
2020-02-01,Baydhaba,3.266359,43.63929
2016-02-01,Belet Weyne,4.724339,45.37965
2016-03-01,Belet Weyne,4.724339,45.37965
2016-04-01,Belet Weyne,4.724339,45.37965
2016-05-01,Belet Weyne,4.724339,45.37965
2016-06-01,Belet Weyne,4.724339,45.37965
2016-07-01,Belet Weyne,4.724339,45.37965
2016-08-01,Belet Weyne,4.724339,45.37965
2016-09-01,Belet Weyne,4.724339,45.37965
2016-10-01,Belet Weyne,4.724339,45.37965
2016-11-01,Belet Weyne,4.724339,45.37965
2016-12-01,Belet Weyne,4.724339,45.37965
2017-01-01,Belet Weyne,4.724339,45.37965
2017-02-01,Belet Weyne,4.724339,45.37965
2017-03-01,Belet Weyne,4.724339,45.37965
2017-04-01,Belet Weyne,4.724339,45.37965
2017-05-01,Belet Weyne,4.724339,45.37965
2017-06-01,Belet Weyne,4.724339,45.37965
2017-07-01,Belet Weyne,4.724339,45.37965
2017-08-01,Belet Weyne,4.724339,45.37965
2017-09-01,Belet Weyne,4.724339,45.37965
2017-10-01,Belet Weyne,4.724339,45.37965
2017-11-01,Belet Weyne,4.724339,45.37965
2017-12-01,Belet Weyne,4.724339,45.37965
2018-01-01,Belet Weyne,4.724339,45.37965
2018-02-01,Belet Weyne,4.724339,45.37965
2018-03-01,Belet Weyne,4.724339,45.37965
2018-04-01,Belet Weyne,4.724339,45.37965
2018-05-01,Belet Weyne,4.724339,45.37965
2018-06-01,Belet Weyne,4.724339,45.37965
2018-07-01,Belet Weyne,4.724339,45.37965
2018-08-01,Belet Weyne,4.724339,45.37965
2018-09-01,Belet Weyne,4.724339,45.37965
2018-10-01,Belet Weyne,4.724339,45.37965
2018-11-01,Belet Weyne,4.724339,45.37965
2018-12-01,Belet Weyne,4.724339,45.37965
2019-01-01,Belet Weyne,4.724339,45.37965
2019-02-01,Belet Weyne,4.724339,45.37965
2019-03-01,Belet Weyne,4.724339,45.37965
2019-04-01,Belet Weyne,4.724339,45.37965
2019-05-01,Belet Weyne,4.724339,45.37965
2019-06-01,Belet Weyne,4.724339,45.37965
